unix,low,high,open,close,volume,date
1542556800.0,5531.02,5546.24,5533.56,5540.99,189.05784915,2018-11-18 16:00:00
1542560400.0,5535.35,5541.98,5540.98,5538.64,159.84781259,2018-11-18 17:00:00
1542564000.0,5530.0,5570.85,5538.64,5568.63,232.52303515,2018-11-18 18:00:00
1542567600.0,5560.84,5665.0,5567.65,5569.33,889.62396046,2018-11-18 19:00:00
1542571200.0,5534.0,5569.33,5569.32,5534.01,185.83975267,2018-11-18 20:00:00
1542574800.0,5523.57,5547.0,5534.0,5544.71,167.50958306,2018-11-18 21:00:00
1542578400.0,5529.0,5547.0,5544.71,5544.04,148.41150128,2018-11-18 22:00:00
1542582000.0,5541.54,5560.0,5544.04,5560.0,211.24344532,2018-11-18 23:00:00
1542585600.0,5539.38,5560.0,5560.0,5544.01,223.00120724,2018-11-19
1542589200.0,5457.34,5544.01,5544.01,5510.96,750.14793222,2018-11-19 01:00:00
1542592800.0,5465.79,5517.4,5510.96,5492.33,257.38077095,2018-11-19 02:00:00
1542596400.0,5489.48,5518.34,5492.33,5515.09,186.45040128,2018-11-19 03:00:00
1542600000.0,5477.72,5515.9,5515.9,5495.99,207.47251215,2018-11-19 04:00:00
1542603600.0,5306.94,5496.0,5495.99,5430.44,1783.23098222,2018-11-19 05:00:00
1542607200.0,5369.94,5432.48,5430.79,5391.51,830.42162137,2018-11-19 06:00:00
1542610800.0,5370.0,5399.35,5391.5,5378.79,250.90675274,2018-11-19 07:00:00
1542614400.0,5170.61,5378.79,5378.78,5278.78,2741.56466424,2018-11-19 08:00:00
1542618000.0,5173.21,5283.26,5278.78,5203.43,612.24077551,2018-11-19 09:00:00
1542621600.0,5199.45,5340.85,5201.97,5291.0,1349.39387105,2018-11-19 10:00:00
1542625200.0,5235.34,5298.26,5290.99,5247.66,269.72708905,2018-11-19 11:00:00
1542628800.0,5213.61,5275.0,5249.09,5230.01,557.1527128,2018-11-19 12:00:00
1542632400.0,5082.01,5230.01,5230.0,5122.84,3063.33775867,2018-11-19 13:00:00
1542636000.0,5054.87,5139.18,5122.85,5097.99,2737.29211178,2018-11-19 14:00:00
1542639600.0,5074.32,5168.57,5097.98,5112.63,1968.29992833,2018-11-19 15:00:00
1542643200.0,4950.0,5134.88,5111.85,5058.09,4888.49176585,2018-11-19 16:00:00
1542646800.0,5005.0,5070.0,5058.1,5024.99,1294.04213109,2018-11-19 17:00:00
1542650400.0,4930.0,5045.0,5022.69,4935.9,2196.49478622,2018-11-19 18:00:00
1542654000.0,4863.0,4975.65,4935.91,4954.21,4554.45172332,2018-11-19 19:00:00
1542657600.0,4871.59,5040.0,4954.21,4884.99,2817.40981855,2018-11-19 20:00:00
1542661200.0,4670.05,4917.23,4884.99,4783.99,4207.74546337,2018-11-19 21:00:00
1542664800.0,4736.19,4839.04,4783.01,4792.98,2803.26160075,2018-11-19 22:00:00
1542668400.0,4712.78,4833.08,4792.94,4733.5,1042.00392325,2018-11-19 23:00:00
1542672000.0,4731.98,4847.68,4736.67,4819.84,1616.35639402,2018-11-20
1542675600.0,4783.64,4825.0,4819.84,4805.31,1087.70523711,2018-11-20 01:00:00
1542679200.0,4803.68,4889.0,4805.31,4851.19,1137.74113555,2018-11-20 02:00:00
1542682800.0,4781.34,4851.19,4851.19,4803.99,1288.53674665,2018-11-20 03:00:00
1542686400.0,4619.0,4820.63,4802.97,4640.21,2601.76273436,2018-11-20 04:00:00
1542690000.0,4550.02,4673.41,4641.95,4593.01,3353.47767576,2018-11-20 05:00:00
1542693600.0,4484.0,4614.97,4593.01,4591.26,3362.65779743,2018-11-20 06:00:00
1542697200.0,4545.19,4653.45,4591.92,4558.49,1590.18269225,2018-11-20 07:00:00
1542700800.0,4218.27,4558.68,4558.48,4309.5,5436.17824054,2018-11-20 08:00:00
1542704400.0,4299.99,4461.39,4314.91,4389.87,3299.24538807,2018-11-20 09:00:00
1542708000.0,4376.27,4483.55,4389.86,4408.23,1185.91025729,2018-11-20 10:00:00
1542711600.0,4314.44,4408.23,4408.23,4319.52,1650.604668,2018-11-20 11:00:00
1542715200.0,4319.24,4444.0,4319.51,4380.0,2309.3863475,2018-11-20 12:00:00
1542718800.0,4352.63,4424.81,4380.0,4388.99,1403.61776958,2018-11-20 13:00:00
1542722400.0,4369.04,4698.36,4388.99,4639.78,4057.89636866,2018-11-20 14:00:00
1542726000.0,4590.02,4753.31,4639.78,4749.81,2917.00554064,2018-11-20 15:00:00
1542729600.0,4635.0,4759.32,4749.81,4662.26,1741.56798699,2018-11-20 16:00:00
1542733200.0,4451.52,4670.0,4661.11,4457.14,2682.62556117,2018-11-20 17:00:00
1542736800.0,4450.72,4564.82,4457.14,4546.17,2281.75046137,2018-11-20 18:00:00
1542740400.0,4476.25,4573.0,4546.17,4500.19,1888.12878392,2018-11-20 19:00:00
1542744000.0,4035.0,4500.08,4499.88,4268.98,10098.95429038,2018-11-20 20:00:00
1542747600.0,4231.14,4431.14,4268.98,4334.48,4563.50490174,2018-11-20 21:00:00
1542751200.0,4220.0,4390.0,4334.48,4246.9,1781.70891762,2018-11-20 22:00:00
1542754800.0,4180.01,4396.36,4246.9,4349.23,3260.37214912,2018-11-20 23:00:00
1542758400.0,4285.86,4381.0,4349.24,4318.87,1556.89313033,2018-11-21
1542762000.0,4239.01,4338.73,4320.0,4295.18,1421.65692859,2018-11-21 01:00:00
1542765600.0,4295.18,4403.83,4295.19,4370.39,1490.97560057,2018-11-21 02:00:00
1542769200.0,4335.35,4500.0,4371.55,4443.85,1833.03948944,2018-11-21 03:00:00
1542772800.0,4373.38,4466.0,4443.7,4455.88,936.63740774,2018-11-21 04:00:00
1542776400.0,4300.0,4455.68,4455.68,4306.0,872.61266305,2018-11-21 05:00:00
1542780000.0,4298.0,4438.34,4306.03,4415.46,812.61400076,2018-11-21 06:00:00
1542783600.0,4392.55,4477.91,4415.45,4471.14,652.20040227,2018-11-21 07:00:00
1542787200.0,4443.01,4627.55,4471.14,4583.42,1464.51436839,2018-11-21 08:00:00
1542790800.0,4543.18,4624.0,4583.42,4545.3,982.08899075,2018-11-21 09:00:00
1542794400.0,4485.57,4567.52,4545.0,4541.41,811.29391307,2018-11-21 10:00:00
1542798000.0,4486.57,4572.15,4541.41,4495.11,461.57908386,2018-11-21 11:00:00
1542801600.0,4495.84,4562.61,4496.54,4544.75,650.91545926,2018-11-21 12:00:00
1542805200.0,4436.02,4548.76,4544.09,4450.01,1022.5795693,2018-11-21 13:00:00
1542808800.0,4380.0,4454.92,4450.01,4421.33,1428.26020677,2018-11-21 14:00:00
1542812400.0,4421.33,4547.13,4421.33,4515.01,1401.50906544,2018-11-21 15:00:00
1542816000.0,4474.39,4546.0,4515.0,4495.57,1128.46467824,2018-11-21 16:00:00
1542819600.0,4360.0,4500.62,4495.57,4433.99,1911.58622013,2018-11-21 17:00:00
1542823200.0,4404.84,4464.99,4433.99,4428.63,576.04880157,2018-11-21 18:00:00
1542826800.0,4387.38,4438.33,4428.73,4410.73,840.36322368,2018-11-21 19:00:00
1542830400.0,4375.0,4485.75,4410.01,4411.63,1403.09602568,2018-11-21 20:00:00
1542834000.0,4335.58,4491.96,4413.91,4450.99,2297.548177,2018-11-21 21:00:00
1542837600.0,4450.0,4504.57,4451.18,4470.53,658.27547618,2018-11-21 22:00:00
1542841200.0,4452.66,4576.14,4470.53,4545.11,1901.6175359,2018-11-21 23:00:00
1542844800.0,4503.96,4558.94,4545.12,4519.32,700.99525219,2018-11-22
1542848400.0,4514.97,4589.0,4519.26,4580.0,662.57145966,2018-11-22 01:00:00
1542852000.0,4531.39,4581.79,4580.0,4546.01,443.14841819,2018-11-22 02:00:00
1542855600.0,4505.83,4548.19,4546.01,4530.51,558.79275717,2018-11-22 03:00:00
1542859200.0,4495.0,4549.48,4530.51,4513.3,333.60593889,2018-11-22 04:00:00
1542862800.0,4499.26,4535.35,4513.29,4531.73,854.14094622,2018-11-22 05:00:00
1542866400.0,4479.95,4532.0,4531.7,4502.15,414.36081796,2018-11-22 06:00:00
1542870000.0,4483.81,4527.16,4502.14,4521.79,282.70389474,2018-11-22 07:00:00
1542873600.0,4507.04,4527.16,4521.79,4522.23,134.30714384,2018-11-22 08:00:00
1542877200.0,4423.29,4523.55,4521.0,4437.17,522.74535628,2018-11-22 09:00:00
1542880800.0,4433.31,4482.64,4437.17,4467.88,363.41617178,2018-11-22 10:00:00
1542884400.0,4408.05,4475.92,4466.31,4454.07,401.04339236,2018-11-22 11:00:00
1542888000.0,4392.32,4455.04,4454.07,4411.24,510.58572088,2018-11-22 12:00:00
1542891600.0,4363.61,4438.5,4411.24,4416.89,557.37549647,2018-11-22 13:00:00
1542895200.0,4415.04,4483.14,4416.78,4453.0,1084.93748257,2018-11-22 14:00:00
1542898800.0,4437.07,4472.28,4453.0,4454.41,240.40103244,2018-11-22 15:00:00
1542902400.0,4426.27,4454.41,4454.41,4430.86,402.01211019,2018-11-22 16:00:00
1542906000.0,4430.85,4465.38,4430.86,4456.8,298.98430668,2018-11-22 17:00:00
1542909600.0,4433.0,4459.69,4456.8,4433.99,214.5385718,2018-11-22 18:00:00
1542913200.0,4389.81,4434.0,4434.0,4398.2,339.17323293,2018-11-22 19:00:00
1542916800.0,4393.45,4423.89,4398.21,4417.82,256.61849002,2018-11-22 20:00:00
1542920400.0,4416.98,4481.02,4417.55,4427.3,449.01928804,2018-11-22 21:00:00
1542924000.0,4381.79,4444.0,4427.3,4411.2,553.72011571,2018-11-22 22:00:00
1542927600.0,4238.69,4412.03,4411.2,4265.36,2459.0431854,2018-11-22 23:00:00
1542931200.0,4263.49,4320.0,4268.18,4290.0,623.5197252,2018-11-23
1542934800.0,4132.01,4296.23,4290.0,4188.01,3809.18674985,2018-11-23 01:00:00
1542938400.0,4132.0,4213.5,4188.01,4187.09,1233.37543333,2018-11-23 02:00:00
1542942000.0,4182.44,4281.08,4187.09,4215.34,1053.66978752,2018-11-23 03:00:00
1542945600.0,4162.79,4227.29,4215.34,4186.06,679.0649526,2018-11-23 04:00:00
1542949200.0,4085.73,4240.47,4186.06,4220.0,3275.34090731,2018-11-23 05:00:00
1542952800.0,4203.42,4260.0,4220.0,4256.64,617.47915288,2018-11-23 06:00:00
1542956400.0,4228.06,4294.4,4257.03,4228.07,390.44706071,2018-11-23 07:00:00
1542960000.0,4227.07,4285.96,4228.07,4282.88,218.69993704,2018-11-23 08:00:00
